title,abstract,year,date,keywords,author,isbn,volume,pages,pid,type,periodical,related url,notes
,,,,Lipophilic ion,"Seelig, J.",,,,,,,,
,,,,Membrane binding,,,,,,,,,
,,,,Phosphatidylcholine,,,,,,,,,
,,,,Tetraphenylphosphonium ion,,,,,,,,,
,,,,tetraphenylphosphonium,,,,,,,,,
,,,,lipid membrane,,,,,,,,,
,,,,nonhuman,,,,,,,,,
,,,,priority journal,,,,,,,,,
Recombinant DNA Technology - Its Prospects for Fundamental Research and for Biotechnological Applications,,1985,1985-01-01T00:00:00Z,Chemistry,"Arber, W.",0009-4293,39,344-348,,Journal Article,Chimia,<Go to ISI>://WOS:A1985AWM4000002,"ISI Document Delivery No.: AWM40 Times Cited: 0 Cited Reference Count: 7 Cited References: ARBER W, 1979, SCIENCE, V205, P361, DOI 10.1126/science.377489 ARBER W, 1981, MANNHEIMER FORUM 81, P9 ARBER W, 1985, SWISS BIOTECH ARBER W, 1984, ORDRE DESORDRE, P202 ARBER W, 1983, VOM FLUSS GENE, V3 ARBER W, 1984, GENETIC MANIPULATION, P1 DAUDEL R, 1984, LIFE SCI SOC Arber, w 0 New swiss chemical soc Basel"
Mechanisms in microbial evolution,"Molecular genetic studies with prokaryotic microorganisms reveal that many different molecular processes contribute to the formation of spontaneous mutations. Besides infidelities in DNA replication and the consequences of environmental mutagens, enzyme-mediated DNA rearrangements bring about important, evolutionarily relevant alterations in the genetic information. Particular attention is given in this article to site-specific recombination at secondary crossover sites and to the transposition of mobile genetic elements with relaxed target specificity. Besides these diverse processes of genomic mutation the acquisition of genetic information from other organisms plays an uncontested role in microbial evolution. Enzymes and organelles mediating any of these mutational processes can be looked at as biological functions acting at the level of populations for the needs of biological evolution, rather than to fulfill the needs of individual living organisms. © 1990.",1990,1990-01-01T00:00:00Z,bacteriophage,"Arber, W.",10478477 (ISSN),104,107-111,10.1016/1047-8477(90)90064-j,Journal Article,Journal of Structural Biology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025572637&doi=10.1016%2f1047-8477%2890%2990064-J&partnerID=40&md5=05a6aeab431caf9178d974a60081ffe6,"Cited By :12 Export Date: 25 January 2021 CODEN: JSBIE Correspondence Address: Arber, W.; Department of Microbiology, Biozentrum, University of Basel, Klingelbergstrasse 70, CH-4056 Basel, Switzerland Chemicals/CAS: DNA, Bacterial References: Arber, Kellenberger, Weigle, (1957) Schweiz. Z. Path. Bakt, 20, pp. 659-665; Arber, Kellenberger, Weigle, (1960) Papers in Bacterial Genetics, pp. 224-229. , E.A. Adelberg, Little Brown and Co, Boston-Toronto; Arber, (1958) Arch. Sci. (Genève), 11, pp. 259-338; Arber, Kellenberger, (1958) Virology, 5, pp. 458-475; Arber, (1965) Annu. Rev. Microbiol, 19, pp. 365-378; Arber, (1974) Progr. Nucleic Acids Res. Mol. Biol, 14, pp. 1-37; Arber, Iida, Jütte, Caspers, Meyer, Hn̈i, (1978) Cold Spring Harbor Symposia on Quantitative Biology, 43, pp. 1197-1208; Campbell, (1962) Adv. Genet, 11, pp. 101-145; Caspers, Dalrymple, Iida, Arber, (1984) Mol. Gen. Genet, 196, pp. 68-73; Iida, (1984) Virology, 134, pp. 421-434; Iida, Huber, Hiestand-Nauer, Meyer, Bickle, Arber, (1984) Cold Spring Harbor Symp. Quant. Biol, 49, pp. 769-777; Iida, Hiestand-Nauer, (1986) Cell, 45, pp. 71-79; Iida, Hiestand-Nauer, (1987) Mol. Gen. Genet, 208, pp. 464-468; Morse, Lederberg, Lederberg, (1956) Genetics, 41, pp. 142-156; Morse, Lederberg, Lederberg, (1956) Genetics, 41, pp. 758-779; Sengstag, Arber, (1983) EMBO J, 2, pp. 67-71; Sengstag, Arber, (1987) Mol. Gen. Genet, 206, pp. 344-351; Weisberg, Landy, (1983) Lambda II, pp. 211-250. , R.W. Hendrix et al., Cold Spring Harbor Laboratory, Cold Spring Harbor, NY"
,,,,bacterium,,,,,,,,,
,,,,conference paper,,,,,,,,,
,,,,dna replication,,,,,,,,,
,,,,evolution,,,,,,,,,
,,,,mutagenesis,,,,,,,,,
,,,,nonhuman,,,,,,,,,
,,,,priority journal,,,,,,,,,
,,,,prokaryote,,,,,,,,,
,,,,crossing over,,,,,,,,,
,,,,genetic recombination,,,,,,,,,
,,,,genetics,,,,,,,,,
,,,,molecular genetics,,,,,,,,,
,,,,nucleotide sequence,,,,,,,,,
,,,,review,,,,,,,,,
,,,,Bacteria (microorganisms),,,,,,,,,
,,,,Prokaryota,,,,,,,,,
,,,,bacterial DNA,,,,,,,,,
,,,,Bacteria,,,,,,,,,
,,,,Base Sequence,,,,,,,,,
,,,,Crossing Over (Genetics),,,,,,,,,
,,,,"DNA, Bacterial",,,,,,,,,
,,,,Molecular Sequence Data,,,,,,,,,
,,,,"Recombination, Genetic",,,,,,,,,
Elements in microbial evolution,"Spontaneous mutation, selection, and isolation are key elements in biological evolution. Molecular genetic approaches reveal a multitude of different mechanisms by which spontaneous mutants arise. Many of these mechanisms depend on enzymes, which often do not act fully at random on the DNA, although a large number of sites of action can be observed. Of particular interest in this respect are DNA rearrangement processes, e.g., by transposition and by site-specific recombination systems. The development of gene functions has thus to be seen as the result of both DNA rearrangement processes and sequence alterations brought about by nucleotide substitutions and small local deletions, insertions, and duplications. Prokaryotic microorganisms are particularly appropriate for studying the effects of spontaneous mutation and thus microbial evolution, as they have haploid genomes, so that genetic alterations become rapidly apparent phenotypically. In addition, bacteria and their viruses and plasmids have relatively small genomes and short generation times, which also facilitate research on evolutionary processes. Besides the strategy of development of gene functions in the vertical transmission of genomes from generation to generation, the acquisition of short DNA segments from other organisms appears to be an important strategy in microbial evolution. In this process of horizontal evolution natural vector DNA molecules are often involved. Because of acquisition barriers, the acquisition strategy works best for relatively small DNA segments, hence at the level of domains, single genes, or at most operons. Among the many enzymes and functional systems involved in vertical and horizontal microbial evolution, some may serve primarily for essential life functions in each individual and only secondarily contribute to evolution. Others, however, might serve primarily for evolution and thus exert their biological functions at the level of populations rather than at that of a single organism. © 1991 Springer-Verlag New York Inc.",1991,1991-01-01T00:00:00Z,Biological function,"Arber, W.",00222844 (ISSN),33,4-12,10.1007/bf02100190,Journal Article,Journal of Molecular Evolution,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026010079&doi=10.1007%2fBF02100190&partnerID=40&md5=f4ca5e798ade1cf0219c1edb199b2748,"Cited By :59 Export Date: 25 January 2021 CODEN: JMEVA Correspondence Address: Arber, W.; Department of Microbiology, Biozentrum, Klingelbergstrasse 70, Basel, CH-4056, Switzerland Chemicals/CAS: DNA, Bacterial References: Arber, W., DNA modification and restriction (1974) Prog Nucleic Acid Res Mol Biol, 14, pp. 1-37; Arber, W., Mechanisms in microbial evolution (1990) J Struct Biol, 104, pp. 107-111; Arber, W., Kellenberger, G., Weigle, J., La défectuosité du phage lambda transducteur. Schweiz Z Allg Pathol Bakteriol 20:659–665. English translation: The defectiveness of lambda transducing phage (1957) Papers on bacterial genetics, pp. 224-229. , E.A., Adelberg, Little, Brown and Co, Boston; Arber, W., Iida, S., Jütte, H., Caspers, P., Meyer, J., Hänni, C., Rearrangements of genetic material in Escherichia coli as observed on the bacteriophage P1 plasmid (1979) Cold Spring Harbor Symp Quant Biol, 43, pp. 1197-1208; Arber, W., Sengstag, C., Caspers, C., Dalrymple, B., Evolutionary relevance of genetic rearrangements involving plasmids (1985) Plasmids in bacteria, pp. 21-31. , D.R., Helinski, S.N., Cohen, D.B., Clewell, D.A., Jackson, A., Hollaender, Plenum, New York; Campbell, A.M., Episomes (1962) Adv Genet, 11, pp. 101-145; Caspers, P., Dalrymple, B., Iida, S., Arber, W., IS 30, a new insertion sequence of Escherichia coli K12 (1984) Mol Gen Genet, 196, pp. 68-73; Glasgow, A.C., Hughes, K.T., Simon, M.I., Bacterial DNA inversion systems (1989) Mobile DNA, pp. 637-659. , D.E., Berg, M.M., Howe, American Society for Microbiology, Washington DC; Haffter, P., Bickle, T.A., Enhancer-independent mutants of Cin recombinase have a relaxed topological specificity (1988) EMBO J, 7, pp. 3991-3996; Huber, H.E., Iida, S., Bickle, T.A., Site-specific DNA inversion is enhanced by a DNA sequence element in cis (1985) Proc Natl Acad Sci USA, 82, pp. 3776-3780; Hübner, P., Haffter, P., Iida, S., Arber, W., Bent DNA is needed for recombinational enhancer activity in the site-specific recombination system Cin of bacteriophage P1 (1989) Journal of Molecular Biology, 205, pp. 493-500; Iida, S., Bacteriophage P1 carries two related sets of genes determining its host range in the invertible C segment of its genome (1984) Virology, 134, pp. 421-434; Iida, S., Hiestand-Nauer, R., Localized conversion at the crossover sequences in the site-specific DNA inversion system of bacteriophage P1 (1986) Cell, 45, pp. 71-79; Iida, S., Hiestand-Nauer, R., Role of the central dinucleotide at the crossover sites for the selection of quasi sites in DNA inversion mediated by the site-specific Cin recombinase of phage P1 (1987) Mol Gen Genet, 208, pp. 464-468; Iida, S., Huber, H., Hiestand-Nauer, R., Meyer, J., Bickle, T.A., Arber, W., The bacteriophage P1 site-specific recombinase Cin: recombination events and DNA recognition sequences (1984) Cold Spring Harbor Symp Quant Biol, 49, pp. 769-777; Johnson, R.C., Bruist, M.F., Intermediates in Hin-mediated DNA inversion: a role for Fis and the recombinational enhancer in the strand exchange reaction (1989) EMBO J, 8, pp. 1581-1590; Johnson, R.C., Simon, M.I., Enhancers of site-specific recombination in bacteria (1987) Trends Genet, 3, pp. 262-267; Keim, P., Lark, K.G., The RecE recombination pathway mediates recombination between partially homologous DNA sequences: structural analysis of recombination products (1990) J Struct Biol, 104, pp. 97-106; Morse, M.L., Lederberg, E.M., Lederberg, J., Transduction in Escherichia coli K12 (1956) Genetics, 41, pp. 758-779; Petes, T.D., Hill, C.W., Recombination between repeated genes in microorganisms (1988) Annu Rev Genet, 22, pp. 147-168; Sengstag, C., Arber, W., IS2 insertion is a major cause of spontaneous mutagenesis of the bacteriophage P1: non-random distribution of target sites (1983) EMBO J, 2, pp. 67-71; Sengstag, C., Arber, W., A cloned DNA fragment from bacteriophage P1 enhances IS2 insertion (1987) Mol Gen Genet, 206, pp. 344-351; Sengstag, C., Shepherd, J.C.W., Arber, W., The sequence of the bacteriophage P1 genome region serving as hot target for IS2 insertion (1983) EMBO J, 2, pp. 1777-1781; Syvanen, M., The evolutionary implications of mobile genetic elements (1984) Annu Rev Genet, 18, pp. 271-293; Weisberg, R., Landy, A., Site-specific recombination in phag lambda (1983) Lambda II, pp. 211-250. , R.E., Hendrix, et al., Cold Spring Harbor Laboratory, Cold Spring Harbor NY"
,,,,DNA inversion,,,,,,,,,
,,,,DNA rearrangement,,,,,,,,,
,,,,Evolutionary tree,,,,,,,,,
,,,,Gene acquisition,,,,,,,,,
,,,,Replication infidelity,,,,,,,,,
,,,,Site-specific recombination,,,,,,,,,
,,,,Spontaneous mutagenesis,,,,,,,,,
,,,,Transposition,,,,,,,,,
,,,,Variety generator,,,,,,,,,
,,,,dna recombination,,,,,,,,,
,,,,dna transposition,,,,,,,,,
,,,,evolution,,,,,,,,,
,,,,gene inversion,,,,,,,,,
,,,,microorganism,,,,,,,,,
,,,,mutagenesis,,,,,,,,,
,,,,nonhuman,,,,,,,,,
,,,,priority journal,,,,,,,,,
,,,,review,,,,,,,,,
,,,,Base Sequence,,,,,,,,,
,,,,"DNA, Bacterial",,,,,,,,,
,,,,Molecular Sequence Data,,,,,,,,,
,,,,Prokaryota,,,,,,,,,
Contemplations on genes and biological functions,,1991,1991-01-01T00:00:00Z,article,"Arber, W.",00653071 (ISSN),46,1-7,,Journal Article,Advances in oto-rhino-laryngology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026043113&partnerID=40&md5=5a8ff2b652ab29bd81c968db0bb68e4c,"Cited By :1 Export Date: 25 January 2021 Correspondence Address: Arber, W."
,,,,evolution,,,,,,,,,
,,,,genetic engineering,,,,,,,,,
,,,,genetic procedures,,,,,,,,,
,,,,human,,,,,,,,,
,,,,molecular biology,,,,,,,,,
,,,,Genetic Techniques,,,,,,,,,
,,,,Humans,,,,,,,,,
Sporangiogenesis in 3 Genera of the Saprolegniaceae .1. Pre-Sporangium Hyphae to Early Primary Spore Initial-Stage,,1982,1982-01-01T00:00:00Z,Mycology,"Armbruster, B. L.",0027-5514,74,433-459,10.2307/3792966,Journal Article,Mycologia,<Go to ISI>://WOS:A1982NS88000011,"ISI Document Delivery No.: NS880 Times Cited: 17 Cited Reference Count: 64 Cited References: BARSTOW WE, 1979, EXP MYCOL, V3, P28, DOI 10.1016/S0147-5975(79)80016-X BEAKES GW, 1980, CAN J BOT, V58, P209, DOI 10.1139/b80-022 BEHNKE O, 1967, J CELL SCI, V2, P169 BHARGAVA KS, 1950, BOT GAZ, V112, P24, DOI 10.1086/335622 BROWN RM, 1976, P NATL ACAD SCI USA, V73, P143, DOI 10.1073/pnas.73.1.143 BUSGEN M, 1882, JB WISS BOT, V13, P253 COOPER GEORGE OLDS, 1929, TRANS WISCONSIN ACAD SCI ARTS & LETT, V24, P309 COUCH J. N., 1927, JOUR ELISHA MITCHELL SCI SOC, V42, P227 COUCH JN, 1924, J E MITCHELL SCI SOC, V40, P27 DUNIWAY JM, 1979, ANNU REV PHYTOPATHOL, V17, P431, DOI 10.1146/annurev.py.17.090179.002243 FARO S, 1972, J GEN MICROBIOL, V72, P393, DOI 10.1099/00221287-72-2-393 FEVRE M, 1977, J GEN MICROBIOL, V103, P287, DOI 10.1099/00221287-103-2-287 FREDERICK SE, 1975, PROTOPLASMA, V84, P1, DOI 10.1007/BF02075940 GAY JL, 1971, J GEN MICROBIOL, V65, P233, DOI 10.1099/00221287-65-2-233 GAY JL, 1966, FUNGUS SPORE, P95 GRIFFIN DH, 1966, PLANT PHYSIOL, V41, P1254, DOI 10.1104/pp.41.8.1254 HARTOG MM, 1886, Q J MICROSCOP SCI, V27, P427 HEATH IB, 1977, CAN J BOT, V55, P556, DOI 10.1139/b77-066 HEATH IB, 1970, J GEN MICROBIOL, V62, P129, DOI 10.1099/00221287-62-2-129 HEATH IB, 1970, J CELL SCI, V7, P445 HEATH IB, 1971, J GEN MICROBIOL, V65, P225, DOI 10.1099/00221287-65-2-225 HEATH IB, 1975, BIOSYSTEMS, V7, P351, DOI 10.1016/0303-2647(75)90014-3 HEATH IB, 1970, J GEN MICROBIOL, V62, P139, DOI 10.1099/00221287-62-2-139 HEATH IB, 1975, PROTOPLASMA, V85, P147, DOI 10.1007/BF01567943 HEATH IB, 1978, CYTOBIOLOGIE, V16, P393 HEATH IB, 1968, J GEN MICROBIOL, V53, P287, DOI 10.1099/00221287-53-2-287 HEATH IB, 1974, J CELL BIOL, V60, P204, DOI 10.1083/jcb.60.1.204 HEATH IB, 1976, RECENT ADV AQUATIC M, P603 HEATH IB, 1975, 1ST P INT C IAMS, P92 HEATH IB, 1969, THESIS U LONDON HEATH IB, 1978, NUCLEAR DIVISION FUN, P89 HEATH MC, 1971, PHYSIOL PLANT PATHOL, V1, P277, DOI 10.1016/0048-4059(71)90048-8 HOCH HC, 1972, PHYTOPATHOLOGY, V62, P149, DOI 10.1094/Phyto-62-149 HOEFERT LL, 1980, AM J BOT, V67, P194, DOI 10.2307/2442642 HOHL HR, 1967, AM J BOT, V54, P1131, DOI 10.2307/2440538 HOWARD RJ, 1979, J ULTRA MOL STRUCT R, V66, P224, DOI 10.1016/S0022-5320(79)90120-5 KANE BE, 1971, THESIS U FLORIDA GAI KOEVENIG JL, 1964, MYCOLOGIA, V56, P170, DOI 10.2307/3756534 KUBAI DF, 1975, INT REV CYTOL, V43, P167 MILLS GL, 1979, EXP MYCOL, V3, P53, DOI 10.1016/S0147-5975(79)80018-3 MULLINS JT, 1973, MYCOLOGIA, V65, P1007, DOI 10.2307/3758283 MURDIA MS, 1939, P NATL ACAD SCI IN B, V9, P168 NEWCOMB EH, 1965, J CELL BIOL, V27, P575, DOI 10.1083/jcb.27.3.575 NORRIS MD, 1977, THESIS DUKE U N CARO PARKER BC, 1963, PROC R SOC SER B-BIO, V158, P435, DOI 10.1098/rspb.1963.0056 POWELL MJ, 1978, BIOSYSTEMS, V10, P167, DOI 10.1016/0303-2647(78)90038-2 POWELL MJ, 1977, 2 INT MYC C TAMP REYNOLDS ES, 1963, J CELL BIOL, V17, P208, DOI 10.1083/jcb.17.1.208 ROSEN WG, 1968, ANN REV PLANT PHYSIO, V19, P435, DOI 10.1146/annurev.pp.19.060168.002251 ROTHERT W, 1892, BEITR BIOL PFLANZEN, V5, P291 SAKSENA RK, 1946, MYCOLOGIA, V38, P554, DOI 10.2307/3754995 SETZER EG, 1941, THESIS U N CAROLINA SHATLA MN, 1966, PHYTOPATHOLOGY, V56, P923 SPURR AR, 1969, J ULTRA MOL STRUCT R, V26, P31, DOI 10.1016/S0022-5320(69)90033-1 STETLER DA, 1972, AM J BOT, V59, P1011, DOI 10.2307/2441484 THOMAS DDS, 1969, PHYSIOL PLANTARUM, V22, P347, DOI 10.1111/j.1399-3054.1969.tb07385.x THORSCH J, 1981, J ULTRA MOL STRUCT R, V74, P195, DOI 10.1016/S0022-5320(81)80077-9 TILNEY LG, 1967, J CELL BIOL, V34, P327, DOI 10.1083/jcb.34.1.327 TOKUNAGA J, 1971, ARCH MIKROBIOL, V79, P293, DOI 10.1007/BF00424906 TOKUNAGA J, 1971, ARCH MIKROBIOL, V79, P283, DOI 10.1007/BF00424905 TONTZ JC, 1969, THESIS U TEXAS AUSTI VIGIL EL, 1973, J HISTOCHEM CYTOCHEM, V21, P958, DOI 10.1177/21.11.958 WANG MC, 1973, J BIOL CHEM, V248, P4112 WANG MC, 1974, CARBOHYD RES, V37, P331, DOI 10.1016/S0008-6215(00)82922-5 Armbruster, bl 17 0 New york botanical garden Bronx"
Sporangiogenesis in 3 Genera of the Saprolegniaceae .2. Primary Spore Initial to Secondary Spore Initial-Stage,,1982,1982-01-01T00:00:00Z,Mycology,"Armbruster, B. L.",0027-5514,74,975-999,10.2307/3792727,Journal Article,Mycologia,<Go to ISI>://WOS:A1982PW20300014,"ISI Document Delivery No.: PW203 Times Cited: 17 Cited Reference Count: 32 Cited References: ARMBRUSTER BL, 1982, MYCOLOGIA, V74, P433, DOI 10.2307/3792966 BARR DJS, 1979, CAN J BOT, V57, P48, DOI 10.1139/b79-010 BEAKES GW, 1978, T BRIT MYCOL SOC, V71, P11, DOI 10.1016/S0007-1536(78)80002-3 BEEBE DC, 1979, SCIENCE, V206, P836, DOI 10.1126/science.493982 BRACKER CE, 1968, MYCOLOGIA, V60, P1016, DOI 10.2307/3757290 BRACKER CE, 1966, FUNGUS SPORE, P39 BUSGEN M, 1882, JB WISS BOT, V13, P253 FEVRE M, 1977, J GEN MICROBIOL, V103, P287, DOI 10.1099/00221287-103-2-287 FLETCHER J, 1979, J GEN MICROBIOL, V113, P315, DOI 10.1099/00221287-113-2-315 GAY JL, 1971, J GEN MICROBIOL, V65, P233, DOI 10.1099/00221287-65-2-233 GAY JL, 1966, FUNGUS SPORE, P95 HARTOG MM, 1886, Q J MICROSCOP SCI, V27, P427 HEATH IB, 1971, J GEN MICROBIOL, V65, P225, DOI 10.1099/00221287-65-2-225 HEATH IB, 1971, Z ZELLFORSCH MIK ANA, V112, P371 HEATH IB, 1975, PROTOPLASMA, V85, P147, DOI 10.1007/BF01567943 HEATH IB, 1970, ARCH MIKROBIOL, V75, P67, DOI 10.1007/BF00412094 HEATH IB, 1976, RECENT ADV AQUATIC M, P603 HEATH IB, 1969, THESIS U LONDON HOCH HC, 1972, PHYTOPATHOLOGY, V62, P149, DOI 10.1094/Phyto-62-149 HOHL HR, 1967, AM J BOT, V54, P1131, DOI 10.2307/2440538 HOLLOWAY SA, 1977, EXP MYCOL, V1, P9, DOI 10.1016/S0147-5975(77)80027-3 HOLLOWAY SA, 1977, CAN J BOT, V55, P1328, DOI 10.1139/b77-154 HOWARD KL, 1970, BOT GAZ, V131, P311, DOI 10.1086/336549 KING JE, 1968, T BRIT MYCOL SOC, V51, P269, DOI 10.1016/S0007-1536(68)80061-0 LANGE L, 1979, Dansk Botanisk Arkiv, V33, P1 MULLINS JT, 1973, MYCOLOGIA, V65, P1007, DOI 10.2307/3758283 PARKER BC, 1963, PROC R SOC SER B-BIO, V158, P435, DOI 10.1098/rspb.1963.0056 ROTHERT W, 1892, BEITR BIOL PFLANZEN, V5, P291 SAKSENA RK, 1946, MYCOLOGIA, V38, P554, DOI 10.2307/3754995 SLIFKIN MK, 1967, MYCOLOGIA, V59, P431, DOI 10.2307/3756761 THOMAS DDS, 1969, PHYSIOL PLANTARUM, V22, P347, DOI 10.1111/j.1399-3054.1969.tb07385.x TONTZ JC, 1969, THESIS U TEXAS AUSTI Armbruster, bl 17 0 New york botanical garden Bronx"
Specimen preparation for electron microscopy using low temperature embedding resins,"Studies using polar and non‐polar methacrylate‐based resins (Lowicryl® K4M and HM20) suitable for low temperature embedding are described. We present the first applications of the system to various membrane structures in glutaraldehyde‐fixed, uranyl acetate‐stained thin sections of bacteria, mitochondria and cell‐cell contact regions. 1982 Blackwell Science Ltd",1982,1982-01-01T00:00:00Z,methacrylic acid,"Armbruster, B. L.",00222720 (ISSN),126,77-85,10.1111/j.1365-2818.1982.tb00358.x,Journal Article,Journal of Microscopy,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020326502&doi=10.1111%2fj.1365-2818.1982.tb00358.x&partnerID=40&md5=e70a4844c9e536fbe6905e8e3fdb7d3a,"Cited By :142 Export Date: 25 January 2021 Correspondence Address: Armbruster, B.L.; Department of Microbiology, Klingelbergstr. 70, Basel, C-4056, Switzerland Chemicals/CAS: methacrylic acid, 18358-13-9, 79-41-4; Acrylic Resins References: Armbruster, B., Carlemalm, E., Chiovetti, R., Garavito, R.M., Hobot, J., Kellenberger, E., Villiger, W., Advances in specimen preparation for electron microscopy using low‐temperature embedding resins (1981) Proc. Roy. microsc. Soc., 16, p. 168; Carlemalm, E., Garavito, R.M., Villiger, W., Resin development for electron microscopy and an analysis of embedding at low temperature (1982) J. Microsc.; Douzou, P., Enzymology at sub‐zero temperatures (1977) Adv. Enzymol., 45, p. 157; Kellenberger, E., Progress and new approaches in obtaining finer significant details in the electron microscopy of biological material (1979) J. Electron Microsc., 28, p. 49; Kellenberger, E., Carlemalm, E., Villiger, W., Roth, J., Garavito, R.M., (1980), pp. 1-59. , Low denaturation embedding for electron microscopy of thin sections. Chemische Werke Lowi GmbH (Beuthener Strasse 2, Postfach 1660, D‐8264 Waldkraiburg, F.R.G.), pp; Kellenberger, E., Schwab, W., Ryter, A., L'utilisation d'un copolymère du groupe des polysters comme matériel d'inclusion en ultramicrotomie (1956) Experientia, 12, p. 421; Kellenberger, E., Séchaud, J., Blondel, B., Appendix in: Séchaud, J. & Kellenberger, E. (1972) Electron microscopy of DNA‐containing plasms. IV. Glutaraldehyde‐uranyl acetate fixation of virus‐infected bacteria for thin sectioning (1972) J. Ultrastruct. Res., 39, p. 598; McMillan, P.N., Luftig, R.B., Preservation of erythrocyte ghost ultrastructure achieved by various fixatives (1973) Proc. nat. Acad. Sci. U.S.A., 70, p. 3060; Pease, D.C., The preservation of unfixed cytological detail by dehydration with ‘inert’ agents (1966) J. Ultrastruct. Res., 14, p. 356; Rosenbusch, J.P., Characterization of the major envelope protein from E. coli: regular arrangement on the peptidoglycan and unusual dodecyl sulfate binding (1974) J. biol. Chem., 249, p. 8019; Ryter, A., Kellenberger, E., Selected applications of the electron microscope in bacteriology (1964) Modern Developments in Electron Microscopy, p. 335. , Ed. by, B. M. Siegel, Academic Press, London; Schnaitman, C.A., Solubilization of the cytoplasmic membrane of Escherichia coli by triton X‐100 (1971) J. Bact., 108, p. 545; Schnaitman, C.A., Effect of ethylenediamine tetraacetic acid, triton X‐100 and lysozyme on the morphology and chemical composition of isolated cell walls of E. coli. (1971) J. Bact., 108, p. 553; Seglen, P.O., Preparation of isolated rat liver cells (1976) Methods in Cell Biology, 13, p. 29. , Ed. by, D. M. Prescott, Academic Press, New York; Sjöstrand, F.S., The problems of preserving molecular structure of cellular components in connection with electron microscopic analysis (1976) J. Ultrastruct. Res., 55, p. 271; Sjöstrand, F.S., The arrangement of mitochondrial membranes and a new structural feature of the inner mitochondrial membranes (1977) J. Ultrastruct. Res., 59, p. 292; Sjöstrand, F.S., Barajas, L., Effect of modifications in conformation of protein molecules on structure of mitochondrial membranes (1968) J. Ultrastruct. Res., 25, p. 121; Sjöstrand, F.S., Barajas, L., A new model for mitochondrial membranes based on structural and on biochemical information (1970) J. Ultrastruct. Res., 32, p. 293; Sjöstrand, F.S., Kretzer, F., A new freeze‐drying technique applied to the analysis of the molecular structure of mitochondrial and chloroplast membranes (1975) J. Ultrastruct. Res., 53, p. 1; Steven, A.C., Ten Heggeler, B., Müller, R., Kistler, J., Rosenbusch, J.P., Ultrastructure of a periodic protein layer in the outer membrane of E. coli. (1977) J. Cell Biol., 72, p. 292; Tokuyasu, K.T., Peacock, W.T., Hardy, R.W., Dynamics of spermiogenesis in Drosophila melanogaster (1972) Z. Zellforsch., 127, p. 492; Wood, J.G., The effects of glutaraldehyde and osmium on the proteins and lipids of myelin and mitochondria (1973) Biochim. biophys. Acta., 329, p. 118"
,,,,electron microscopy,"Carlemalm, E.",,,,,,,,
,,,,embedding,"Chiovetti, R.",,,,,,,,
,,,,methodology,"Garavito, R. M.",,,,,,,,
,,,,Acrylic Resins,"Hobot, J. A.",,,,,,,,
,,,,Bacteriological Techniques,"Kellenberger, E.",,,,,,,,
,,,,Cell Membrane,"Villiger, W.",,,,,,,,
,,,,Cold,,,,,,,,,
,,,,Cytological Techniques,,,,,,,,,
,,,,Escherichia coli,,,,,,,,,
,,,,Intercellular Junctions,,,,,,,,,
,,,,Liver,,,,,,,,,
,,,,"Microscopy, Electron",,,,,,,,,
,,,,"Mitochondria, Liver",,,,,,,,,
Study of a Perturbation in the Coding Periodicity,,1987,1987-01-01T00:00:00Z,Life Sciences & Biomedicine - Other Topics,"Arques, D. G.",0025-5564,86,1-14,10.1016/0025-5564(87)90060-5,Journal Article,Mathematical Biosciences,<Go to ISI>://WOS:A1987K587300001,"ISI Document Delivery No.: K5873 Times Cited: 15 Cited Reference Count: 12 Cited References: ARNOTT S, 1980, NATURE, V283, P743, DOI 10.1038/283743a0 DICKERSON RE, 1983, J MOL BIOL, V166, P419, DOI 10.1016/S0022-2836(83)80093-X EIGEN M, 1978, NATURWISSENSCHAFTEN, V65, P341, DOI 10.1007/BF00439699 FICKETT JW, 1982, NUCLEIC ACIDS RES, V10, P5303, DOI 10.1093/nar/10.17.5303 Lebart L., 1979, TRAITEMENT DONNEES S LENNON GG, 1985, J THEOR BIOL, V116, P427, DOI 10.1016/S0022-5193(85)80279-4 LESLIE AGW, 1980, J MOL BIOL, V143, P49, DOI 10.1016/0022-2836(80)90124-2 MICHEL CJ, 1986, J THEOR BIOL, V120, P223, DOI 10.1016/S0022-5193(86)80176-X SHEPHERD JCW, 1981, P NATL ACAD SCI-BIOL, V78, P1596, DOI 10.1073/pnas.78.3.1596 TRIFONOV EN, 1980, P NATL ACAD SCI-BIOL, V77, P3816, DOI 10.1073/pnas.77.7.3816 WANG AHJ, 1979, NATURE, V282, P680, DOI 10.1038/282680a0 WANG JC, 1979, P NATL ACAD SCI USA, V76, P200, DOI 10.1073/pnas.76.1.200 Arques, dg michel, cj 15 0 Elsevier science inc New york"
,,,,Mathematical & Computational,"Michel, C. J.",,,,,,,,
,,,,Biology,,,,,,,,,
