title,abstract,year,date,keywords,author,isbn,volume,pages,pid,type,periodical,related url,notes
Comparison of Structural and Chemical Composition of Giant T-Even Phage Heads,,1976,1976-01-01T00:00:00Z,Chemistry,"Aebi, U.",0091-7419,5,475-495,10.1002/jss.400050406,Journal Article,Journal of Supramolecular Structure,<Go to ISI>://WOS:A1976DH28700005,"ISI Document Delivery No.: DH287 Times Cited: 40 Cited Reference Count: 35 Cited References: AEBI U, 1974, Journal of Supramolecular Structure, V2, P253, DOI 10.1002/jss.400020218 AEBI U, 1973, Journal of Supramolecular Structure, V1, P498, DOI 10.1002/jss.400010606 AEBI U, IN PRESS BIJLENGA RK, 1973, VIROLOGY, V56, P250, DOI 10.1016/0042-6822(73)90304-8 BIJLENGA RKL, 1976, J MOL BIOL, V103, P469, DOI 10.1016/0022-2836(76)90213-8 BLACK LW, 1971, J MOL BIOL, V57, P71, DOI 10.1016/0022-2836(71)90120-3 BLACK LW, 1976, J VIROL, V17, P894, DOI 10.1128/JVI.17.3.894-905.1976 BOLIN RW, 1974, J VIROL, V13, P1378, DOI 10.1128/JVI.13.6.1378-1391.1974 BOLIN RW, 1974, J VIROL, V13, P1368, DOI 10.1128/JVI.13.6.1368-1377.1974 BRANTON D, 1975, J MOL BIOL, V92, P559, DOI 10.1016/0022-2836(75)90309-5 CHAO J, 1974, J MOL BIOL, V85, P41, DOI 10.1016/0022-2836(74)90127-2 COPPO A, 1973, J MOL BIOL, V76, P61, DOI 10.1016/0022-2836(73)90081-8 CUMMINGS DJ, 1973, VIROLOGY, V54, P245, DOI 10.1016/0042-6822(73)90134-7 DOERMANN AH, 1973, J VIROL, V12, P374, DOI 10.1128/JVI.12.2.374-385.1973 DOERMANN AH, 1973, VIRUS RES, P243 EISERLING FA, 1970, J VIROL, V6, P865, DOI 10.1128/JVI.6.6.865-876.1970 EPSTEIN RH, 1963, COLD SPRING HARB SYM, V28, P375, DOI 10.1101/SQB.1963.028.01.053 FORREST GL, 1970, J VIROL, V5, P398, DOI 10.1128/JVI.5.3.398-405.1970 HORWITZ HR, 1974, J MOL BIOL, V90, P739 HORWITZ HR, 1974, J MOL BIOL, V90, P727 HOWARD GW, 1972, T NEW YORK ACAD SCI, V34, P36, DOI 10.1111/j.2164-0947.1972.tb02659.x ISHII T, 1975, J MOL BIOL, V97, P655, DOI 10.1016/S0022-2836(75)80065-9 KELLENBERGER E, 1972, POLYMERIZATION BIOLO, V7, P295 LAEMMLI UK, 1970, J MOL BIOL, V49, P99, DOI 10.1016/0022-2836(70)90379-7 LAEMMLI UK, 1970, NATURE, V227, P680, DOI 10.1038/227680a0 LAEMMLI UK, 1968, MOL GEN GENET, V101, P333, DOI 10.1007/BF00436231 LAKE JA, 1974, J MOL BIOL, V86, P499, DOI 10.1016/0022-2836(74)90177-6 MINAGAWA T, 1961, VIROLOGY, V13, P515, DOI 10.1016/0042-6822(61)90283-5 MOODY MF, 1965, VIROLOGY, V26, P567, DOI 10.1016/0042-6822(65)90319-3 PAULSON JR, 1976, J MOL BIOL, V103, P155, DOI 10.1016/0022-2836(76)90057-7 SCHREIL WH, 1964, J CELL BIOL, V22, P1, DOI 10.1083/jcb.22.1.1 SHOWE MK, 1976, J MOL BIOL, V107, P55, DOI 10.1016/S0022-2836(76)80017-4 SMITH PR, 1973, J SUPRAMOL STRUCT, V1, P516 STEVEN AC, 1976, J MOL BIOL, V102, P373, DOI 10.1016/0022-2836(76)90323-5 STEVEN AC, 1976, J MOL BIOL, V106, P187, DOI 10.1016/0022-2836(76)90307-7 Aebi, u bijlenga, rkl tenheggeler, b kistler, j steven, ac smith, pr Smith, Phillip/0000-0002-7850-8440 40 0 1 Wiley-liss New york"
,,,,,"Bijlenga, R. K. L.",,,,,,,,
,,,,,"Tenheggeler, B.",,,,,,,,
,,,,,"Kistler, J.",,,,,,,,
,,,,,"Steven, A. C.",,,,,,,,
,,,,,"Smith, P. R.",,,,,,,,
New Method for Localizing Proteins in Periodic Structures - Fab Fragment Labeling Combined with Image-Processing of Electron-Micrographs,,1977,1977-01-01T00:00:00Z,Science & Technology - Other Topics,"Aebi, U.",0027-8424,74,5514-5518,10.1073/pnas.74.12.5514,Journal Article,Proceedings of the National Academy of Sciences of the United States of America,<Go to ISI>://WOS:A1977EH42100070,"ISI Document Delivery No.: EH421 Times Cited: 37 Cited Reference Count: 26 Cited References: AEBI U, 1977, J MOL BIOL, V110, P687, DOI 10.1016/S0022-2836(77)80084-3 AEBI U, 1976, J SUPRAMOL STR CELL, V5, P475, DOI 10.1002/jss.400050406 AEBI U, 1974, J SUPRAMOL STRUCT, V2, P239 BECKENDORF SK, 1973, J MOL BIOL, V73, P37, DOI 10.1016/0022-2836(73)90157-5 BIJLENGA RKL, 1976, J MOL BIOL, V103, P469, DOI 10.1016/0022-2836(76)90213-8 CRAIG R, 1976, J MOL BIOL, V102, P325, DOI 10.1016/S0022-2836(76)80057-5 CROWTHER RA, 1975, ANNU REV BIOCHEM, V44, P161, DOI 10.1146/annurev.bi.44.070175.001113 CROWTHER RA, 1977, J MOL BIOL, V116, P491 CUMMINGS DJ, 1973, VIROLOGY, V54, P245, DOI 10.1016/0042-6822(73)90134-7 DAVIES DR, 1975, ANNU REV BIOCHEM, V44, P639, DOI 10.1146/annurev.bi.44.070175.003231 DEROSIER DJ, 1972, J MOL BIOL, V65, P469, DOI 10.1016/0022-2836(72)90202-1 DOERMANN AH, 1973, J VIROL, V12, P374, DOI 10.1128/JVI.12.2.374-385.1973 ISHII T, 1975, J MOL BIOL, V97, P655, DOI 10.1016/S0022-2836(75)80065-9 KISTLER J, 1977, J ULTRA MOL STRUCT R, V59, P76, DOI 10.1016/S0022-5320(77)80030-0 LAKE JA, 1975, J MOL BIOL, V99, P631, DOI 10.1016/S0022-2836(75)80177-X MOORE PB, 1970, J MOL BIOL, V50, P279, DOI 10.1016/0022-2836(70)90192-0 ONORATO L, 1975, J MOL BIOL, V92, P395, DOI 10.1016/0022-2836(75)90288-0 PORTER RR, 1959, BIOCHEM J, V73, P119, DOI 10.1042/bj0730119 SHOWE MK, 1976, J MOL BIOL, V107, P55, DOI 10.1016/S0022-2836(76)80017-4 STEVEN AC, 1976, J MOL BIOL, V106, P187, DOI 10.1016/0022-2836(76)90307-7 TISCHENDORF GW, 1975, P NATL ACAD SCI USA, V72, P4820, DOI 10.1073/pnas.72.12.4820 TSUGITA A, 1975, J MOL BIOL, V98, P271, DOI 10.1016/S0022-2836(75)80116-1 WEIR DM, 1974, HDB EXPT IMMUNOLOGY WURTZ M, 1976, J MOL BIOL, V101, P39, DOI 10.1016/0022-2836(76)90065-6 YANAGIDA M, 1970, J MOL BIOL, V51, P411, DOI 10.1016/0022-2836(70)90151-8 YANAGIDA M, 1977, J MOL BIOL, V109, P515, DOI 10.1016/S0022-2836(77)80089-2 Aebi, u heggeler, bt onorato, l kistler, j showe, mk 37 0 2 Natl acad sciences Washington"
,,,,,"Heggeler, B. T.",,,,,,,,
,,,,,"Onorato, L.",,,,,,,,
,,,,,"Kistler, J.",,,,,,,,
,,,,,"Showe, M. K.",,,,,,,,
Crystalline aggregation of a proteolytic fragment of the major head protein of bacteriophage T4,"An analysis has been made of the composition and structure of the two types of sheets assembled from material from dissociated bacteriophage T2 (Poglazov &amp; Mesyhanzhinov, 1967) and T4 capsids. Serological techniques have been used to show that both types of sheet are assembled from proteolytic fragment of P23*, the major capsid constituent. The two types of sheets have been found to interconvert depending on the concentration of Mg2+ ions in the buffer. Computer modelling experiments show that the ""hexagonal"" and ""rectangular"" morphologies observed in the negative stain are due to in-register and staggered associations, respectively, of a single basic hexagonal lattice. Analysis by polyacrylamide gel electrophoresis of samples of sheets and dissociated capsids, together with previous results from immune electron microscopy (Kistler et al., 1978), suggest that hexamers of the proteolytic fragment are derived conservatively from capsomers of the phage head. The value of this proteolytic P23 fragment has been twofold: (1) it has proved to be a useful peptide in the ongoing primary sequence determination of P23 and (2) antibodies raised against it have been employed to follow the fate of P23 antigenic sites during various steps of phage capsid maturation (Kistler et al., 1978). © 1979.",1979,1979-01-01T00:00:00Z,amino acid,"Aebi, U.",00222836 (ISSN),130,255-272,10.1016/0022-2836(79)90540-0,Journal Article,Journal of Molecular Biology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018800958&doi=10.1016%2f0022-2836%2879%2990540-0&partnerID=40&md5=f5ebfa6e34eb6f248f80e5f2e005f6a8,"Cited By :11 Export Date: 25 January 2021 CODEN: JMOBA Correspondence Address: Aebi, U.; Department of Microbiology, Biozentrum der Universitat Basel Klingelbergstrasse 70, CH 4056 Basel, Switzerland Chemicals/CAS: amino acid, 65072-01-7; Amino Acids; Antigens, Viral; Peptide Fragments; Viral Proteins References: Aebi, Smith, Dubochet, Henry, Kellenberger, (1973) J. Supramol. Struct, 1, pp. 498-522; Aebi, Bijlenga, van den Broek, van den Broek, Eiserling, Kellenberger, Kellenberger, Steven, (1974) J. Supramol. Struct, 2, pp. 253-275; Aebi, Bijlenga, ten Heggeler, Kistler, Steven, Smith, Comparison of the structural and chemical composition of giant T-even phage heads (1976) Journal of Supramolecular Structure, 5, pp. 475-495; Aebi, van Driel, Bijlenga, ten Heggeler, van den Broek, Steven, Smith, (1977) J. Mol. Biol, 110, pp. 687-698; Aebi, ten Heggeler, Onorato, Kistler, Showe, (1977) Proc. Nat. Acad. Sci., U.S.A, 74, pp. 5514-5518; Bijlenga, Aebi, Kellenberger, (1976) J. Mol. Biol, 103, pp. 469-498; Cells, Smith, Brenner, Correlation Between Genetic and Translational Maps of Gene 23 in Bacteriophage T4 (1973) Nature New Biology, 241, pp. 130-132; Durham, Finch, Klug, (1971) Nature New Biol, 229, pp. 37-42; Edelhoch, (1967) Biochemistry, 6, pp. 1948-1954; Fairbanks, Levinthal, Reeder, (1965) Biochem. Biophys. Res. Commun, 20, pp. 393-399; Ishii, Yanagida, (1975) J. Mol. Biol, 97, pp. 655-660; Kistler, Aebi, Kellenberger, (1977) J. Ultrastruct. Res, 59, pp. 76-86; Kistler, Aebi, Onorato, ten Heggeler, Showe, (1978) J. Mol. Biol, 126, pp. 571-589; Konigsberg, Hill, The structure of human hemoglobin. III. The sequence of amino acids in the tryptic peptides of the alpha chain. (1962) J Biol Chem, 237, pp. 2547-2561; Laemmli, (1970) Nature (London), 227, pp. 680-685; Lowry, Rosebrough, Farr, Randall, (1951) J. Biol. Chem, 193, pp. 265-275; Poglazov, Mesyanzhinov, (1967) Virology, 31, pp. 449-452; Poglazov, Mesyanzhinov, Kosourov, (1967) J. Mol. Biol, 29, pp. 389-394; Reid, Bieleski, (1968) Anal. Biochem, 22, pp. 374-381; Smith, (1978) Ultramicroscopy, 3, pp. 153-160; Smith, Aebi, (1976) J. Supramol. Struct, 5, pp. 493-495; Smith, Aebi, Josephs, Kessel, (1976) J. Mol. Biol, 106, pp. 243-271; Spackmann, Stein, Moore, Automatic Recording Apparatus for Use in Chromatography of Amino Acids (1958) Analytical Chemistry, 30, pp. 1190-1206; Steven, Carrascosa, (1979) Supramol. Stenet, 9. , in the press; Steven, Aebi, Showe, (1976) J. Mol. Biol, 102, pp. 373-407; Steven, Couture, Aebi, Showe, (1976) J. Mol. Biol, 106, pp. 187-221; Tsugita, Black, Showe, (1975) J. Mol. Biol, 98, pp. 271-275; Unwin, Henderson, (1975) J. Mol. Biol, 94, pp. 425-440; Yanagida, (1977) J. Mol. Biol, 109, pp. 515-537"
,,,,peptide fragment,"van den Broek, R.",,,,,,,,
,,,,virus antigen,"Smith, P. R.",,,,,,,,
,,,,virus protein,"ten Heggeler, B.",,,,,,,,
,,,,article,"Dubochet, J.",,,,,,,,
,,,,chemical structure,"Mesyanzhinov, V. V.",,,,,,,,
,,,,coliphage,"Tsugita, A.",,,,,,,,
,,,,crystallography,"Kistler, J.",,,,,,,,
,,,,electron microscopy,,,,,,,,,
,,,,"growth, development and aging",,,,,,,,,
,,,,immunology,,,,,,,,,
,,,,molecular weight,,,,,,,,,
,,,,polyacrylamide gel electrophoresis,,,,,,,,,
,,,,ultrastructure,,,,,,,,,
,,,,virus capsid,,,,,,,,,
,,,,Amino Acids,,,,,,,,,
,,,,"Antigens, Viral",,,,,,,,,
,,,,Capsid,,,,,,,,,
,,,,Coliphages,,,,,,,,,
,,,,"Electrophoresis, Polyacrylamide Gel",,,,,,,,,
,,,,"Microscopy, Electron",,,,,,,,,
,,,,"Models, Molecular",,,,,,,,,
,,,,Peptide Fragments,,,,,,,,,
,,,,Viral Proteins,,,,,,,,,
Capsid fine structure of T-even bacteriophages binding and localization of two dispensable capsid proteins into the P23* surface lattice,"Two methods have been used to identify the stain-excluding regions in the P23* matrix of the T-even phage capsid, and to investigate the bonding of the dispensable proteins hoc and soc into this matrix. (1) T2L giant phage capsids, which lack hoc and soc, have been titrated with these two proteins. (2) hoc, soc and other capsid proteins have been differentially dissociated from T4D and from hoc and soc complemented T2L capsids, by reversible acylation with citraconic anhydride. Changes in the capsomeres of giant capsids have been monitored by electron microscopy followed by optical filtration of the electron micrographs. The results indicate that the stain-excluding region in the centre of the capsomere is associated with binding of one molecule of hoc protein, and the six stain-excluding regions ""bridging"" adjacent capsomeres are associated with the binding of six molecules of soc protein. Further, the binding of soc in the absence of hoc is highly co-operative, whereas the presence of hoc in the P23* lattice induces a marked heterogeneity in the soc binding sites. © 1977 Academic Press Inc. (London) Limited.",1977,1977-01-01T00:00:00Z,bacteriophage,"Aebi, U.",00222836 (ISSN),110,687-698,10.1016/s0022-2836(77)80084-3,Journal Article,Journal of Molecular Biology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017594878&doi=10.1016%2fS0022-2836%2877%2980084-3&partnerID=40&md5=5a1061af5ba87170b6d452538424b089,"Cited By :42 Export Date: 25 January 2021 CODEN: JMOBA Correspondence Address: Aebi, U.; Department of Microbiology, the Biozentrum der Universität Basel, CH 4053 Basel, Switzerland Chemicals/CAS: Citraconic Anhydrides; Viral Proteins Funding details: 3.4330.74 Funding details: European Molecular Biology Organization, EMBO Funding text 1: We thank Evelyne Couture for making the micrographs of the polyheads and Drs T. G. Frey, L. Onorato and !Yl. K. Showe for many interesting and stimulating discussions. Professor E. Kellenberger is thanked for his encouragement and many ideas. One of us (R. v. D.) is grateful to the European Molecular Biology Organization for a long-term fellowship. This work was supported in part by the Swiss National Fotmdation for scientific research (grant no. 3.4330.74). References: Aebi, Bijlenga, van den Broek, van den Broek, Eiserling, Kellenberger, Kellenberger, Steven, (1974) J. Supramol. Struct., 2, pp. 253-275; Aebi, U., Bijlenga, R. K. L., ten Heggeler, B., Kistler, J., Steven, A. C. & Smith, P. R. (1977). J. Supramol. Struct. In the press; Atassi, Habeeb, (1972) Methods Enzymol., 35, pp. 546-553; Bijlenga, Scraba, Kellenberger, (1973) Virology, 56, pp. 250-267; Bijlenga, Aebi, Kellenberger, (1976) J. Mol. Biol., 103, pp. 469-498; Branton, Klug, (1975) J. Mol. Biol., 92, pp. 559-565; Cummings, Chapman, De Long, Couse, (1973) Virology, 54, pp. 245-261; Fenner, Traut, Mason, Wikman-Coffelt, (1975) Anal. Biochem., 63, pp. 595-602; Forrest, Cummings, (1970) J. Virol., 8, pp. 398-405; Habeeb, Atassi, (1970) Biochemistry, 9, pp. 4939-4944; Hohn, Flick, Hohn, (1975) J. Mol. Biol., 98, pp. 107-120; Ishii, Yanagida, (1975) J. Mol. Biol., 97, pp. 655-660; Ishii, Yanagida, (1975) Proc. 1975 Mol. Biol. Meeting, pp. 9-11. , Japan, Kyoritsu Shuppan, Tokyo, Japan; Kellenberger, (1968) Virology, 34, pp. 549-562; Kellenberger, (1976) Phil. Trans. Roy. Soc. London, ser. B, 276, pp. 3-13; Klapper, Klotz, (1972) Methods Enzymol., 35, pp. 531-536; Laemmli, (1970) Nature, 227, pp. 680-685. , (London); Moody, (1965) Virology, 26, pp. 567-576; Reid, Bieleski, (1968) Anal. Biochem., 22, pp. 374-381; Singhal, Atassi, (1971) Biochemistry, 10, pp. 1756-1762; Steven, Aebi, Showe, (1976) J. Mol. Biol., 102, pp. 373-407; Steven, Couture, Aebi, Showe, (1976) J. Mol. Biol., 106, pp. 187-221"
,,,,in vitro study,"van Driel, R.",,,,,,,,
,,,,microorganism,"Bijlenga, R. K. L.",,,,,,,,
,,,,theoretical study,"ten Heggeler, B.",,,,,,,,
,,,,virus capsid,"van den Broek, R.",,,,,,,,
,,,,Binding Sites,"Steven, A. C.",,,,,,,,
,,,,Capsid,"Smith, P. R.",,,,,,,,
,,,,Citraconic Anhydrides,,,,,,,,,
,,,,Coliphages,,,,,,,,,
,,,,"Microscopy, Electron",,,,,,,,,
,,,,Molecular Weight,,,,,,,,,
,,,,Viral Proteins,,,,,,,,,
Direct Determination by Raman Scattering of the Conformation of the Choline Group in Phospholipid Bilayers,"For clarification of the assignments of the vibrational modes of the choline group, Raman spectra of choline iodides selectively deuterated at three different positions were investigated. The isotope shifts of the C-N stretching vibrations suggested that they are conformation sensitive. When the Raman spectra of choline chloride, carbamoylcholine iodide, carbamoylcholine chloride, and methoxycarbonylcholine iodide are compared with the crystal structures of these compounds, a correlation between the vibrational frequency and the conformation of the O-C-C-N+backbone could be established. The Raman bands attributed to the “totally” symmetric stretching (v1) and symmetric stretching vibrations (v2) of the C-N bonds of the quaternary ammonium group appeared at about 720 cm-1 and about 870 cm-1, respectively, for the gauche conformation of the O-C-C-N+backbone, and in the trans conformation, they shifted to about 770 cm-1(v1) and about 910 cm-1 (v2), respectively. On the basis of this correlation and from measurements of phosphatidylcholine and sphingomyelin bilayers, it was concluded that most of the choline groups in both bilayers take the gauche conformation not only in the solid state but also in the gel and liquidcrystalline states. These data represent the first direct evidence that a gauche conformation for the O-C-C-N+bond is preferred in the gel and liquid-crystalline states. These key bands, especially the v1 band, are a powerful tool to study the conformation of the choline group in situ not only in the membrane field but also in the neuroscience in connection with acetylcholine. © 1981, American Chemical Society. All rights reserved.",1981,1981-01-01T00:00:00Z,choline,"Akutsu, H.",00062960 (ISSN),20,7359-7366,10.1021/bi00529a006,Journal Article,Biochemistry,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019886571&doi=10.1021%2fbi00529a006&partnerID=40&md5=73e31aec985fae79e49d605dcab3892f,"Cited By :82 Export Date: 25 January 2021 Correspondence Address: Akutsu, H.; Department of Biophysical Chemistry, , CH-4056 Basel, Switzerland Chemicals/CAS: choline, 123-41-1, 13232-47-8, 1927-06-6, 4858-96-2, 62-49-7, 67-48-1; phosphatidylcholine, 55128-59-1, 8002-43-5; Choline, 62-49-7; Lipid Bilayers; Phosphatidylcholines; Phospholipids References: Akutsu, H., Kyogoku, Y., (1975) Chem. Phys. Lipids, 14, pp. 113-122; Akutsu, H., Kyogoku, Y., (1977) Chem. Phys. Lipids, 18, pp. 285-303; Aslanian, D., Lautie, A., Balkanski, M., (1974) J. Chim. Phys. Phys.-Chim. Biol., 71, pp. 1028-1032; Aslanian, D., Balkanski, M., Lautie, A., (1977) J. Am. Chem. Soc., 99, pp. 1974-1976; Barenholz, Y., Suurkuusk, J., Mountcastle, D., Thompson, T.E., Biltonen, R.L., (1976) Biochemistry, 15, pp. 2441-2447; Brown, K.G., Peticolas, W.L., Brown, E., (1973) Biochem. Biophys. Res. Commun., 54, pp. 358-364; Brunck, T.K., Weinhold, F., (1979) J. Am. Chem. Soc., 101, pp. 1700-1709; Conti, F., Damiani, A., Pietronero, C., Russo, N., (1971) Nature (London), New Biol., 233, pp. 232-234; Edsall, J.T., (1937) J. Chem. Phys., 5, pp. 225-237; Estep, T.N., Calhoun, W.I., Barenholz, Y., Biltonen, R.L., Shipley, G.G., Thompson, T.E., (1980) Biochemistry, 19, pp. 20-24; Fringeli, U.P., (1981) Biophys. J., 34, pp. 173-187; Gaily, H.U., Niederberger, W., Seelig, J., (1975) Biochemistry, 14, pp. 3647-3652; Hauser, H., Guyer, W., Pascher, I., Skrabal, P., Sundell, S., (1980) Biochemistry, 19, pp. 366-373; Hauser, H., Pascher, I., Sundell, S., (1980) J. Mol. Biol., 137, pp. 249-264; Hjortis, J., Sorum, H., (1971) Acta Crystallogr., Sect. B, 27, pp. 1320-1323; Hui, S.W., Stewart, T.P., Yeagle, P.L., (1980) Biochim. Biophys. Acta, 601, pp. 271-281; Jagner, S., Jensen, B., (1977) Acta Crystallogr., Sect. B, 33, pp. 2757-2762; Jensen, B., (1975) Acta Chem. Scand., Ser. B, 29, pp. 891-903; Jensen, B., (1979) Acta Chem. Scand., Ser. B, 33, pp. 227-234; Lippert, J.L., Peticolas, W.L., (1971) Proc. Natl. Acad. Sci. U.S.A., 68, pp. 1572-1576; Milanovich, F.P., Yen, Y., Baskin, R.J., Harney, R.C., (1976) Biochim. Biophys. Acta, 419, pp. 243-250; Mizushima, S., Shimanouchi, T., Nakamura, K., Hayashi, M., Tsuchiya, S., (1957) J. Chem. Phys., 26, pp. 970-971; Pearson, R.H., Pascher, I., (1979) Nature (London), 281, pp. 499-501; Seelig, J., Gaily, U.H., Wohlgemuth, R., (1977) Biochim. Biophys. Acta, 467, pp. 109-119; Senko, M.E., Templeton, H., (1960) Acta Crystallogr., 13, pp. 281-285; Shipman, J.J., Folt, V.L., Krimm, S., (1962) Spectrochim. Acta, 18, pp. 1603-1613; Snyder, R.G., Schachtschneider, J.H., (1969) J. Mol. Spectrosc., 30, pp. 290-309; Sugeta, H., (1975) Spectrochim. Acta, Part A, 31, pp. 1729-1737; Sugeta, H., Go, A., Miyazawa, T., (1972) Chem. Lett., pp. 83-86; Sundaralingam, M., (1968) Nature (London), 217, pp. 31-35; Vieler, P., Galsomias, J., (1968) Bull. Soc. Chim. Fr., pp. 461-462; Wallach, D.F.H., Verma, S.P., (1975) Biochim. Biophys. Acta, 382, pp. 542-551; Wolfe, S., (1972) Acc. Chem. Res., 5, pp. 102-111; Yeagle, P.L., Hutton, W.C., Huang, C., Martin, R.B., (1977) Biochemistry, 16, pp. 4344-4348"
,,,,phosphatidylcholine,,,,,,,,,
,,,,phospholipid,,,,,,,,,
,,,,article,,,,,,,,,
,,,,conformation,,,,,,,,,
,,,,lipid bilayer,,,,,,,,,
,,,,Raman spectrometry,,,,,,,,,
,,,,Lipid Bilayers,,,,,,,,,
,,,,Molecular Conformation,,,,,,,,,
,,,,Phosphatidylcholines,,,,,,,,,
,,,,Phospholipids,,,,,,,,,
,,,,"Spectrum Analysis, Raman",,,,,,,,,
,,,,"Support, Non-U.S. Gov't",,,,,,,,,
